File,codigo_reh_1.100.0.26034.txt,vscode_reh_1.107.0-exploration.txt,vscode_reh_1.108.2.txt,vscode_reh_1.109.0-insider.txt,vscodium_reh_1.108.20787.txt
node_modules/font-ligatures/dist/types.js,,Y,,,
node_modules/font-ligatures/dist/walk.js,,Y,,,
node_modules/font-ligatures/package.json,,Y,,,
node_modules/font-ligatures/tsconfig.json,,Y,,,
node_modules/font-ligatures/tslint.json,,Y,,,
node_modules/get-system-fonts/LICENSE.md,,Y,,,
node_modules/get-system-fonts/dist/index.js,,Y,,,
node_modules/get-system-fonts/dist/recursiveWalk.js,,Y,,,
node_modules/get-system-fonts/package.json,,Y,,,
node_modules/get-system-fonts/tsconfig.json,,Y,,,
node_modules/get-system-fonts/tslint.json,,Y,,,
node_modules/is-number/LICENSE,,Y,Y,,Y
node_modules/is-number/index.js,,Y,Y,,Y
node_modules/is-number/package.json,,Y,Y,,Y
node_modules/lodash-es/LICENSE,Y,,,,
node_modules/lodash-es/_DataView.js,Y,,,,
node_modules/lodash-es/_Hash.js,Y,,,,
node_modules/lodash-es/_LazyWrapper.js,Y,,,,
node_modules/lodash-es/_ListCache.js,Y,,,,
node_modules/lodash-es/_LodashWrapper.js,Y,,,,
node_modules/lodash-es/_Map.js,Y,,,,
node_modules/lodash-es/_MapCache.js,Y,,,,
node_modules/lodash-es/_Promise.js,Y,,,,
node_modules/lodash-es/_Set.js,Y,,,,
node_modules/lodash-es/_SetCache.js,Y,,,,
node_modules/lodash-es/_Stack.js,Y,,,,
node_modules/lodash-es/_Symbol.js,Y,,,,
node_modules/lodash-es/_Uint8Array.js,Y,,,,
node_modules/lodash-es/_WeakMap.js,Y,,,,
node_modules/lodash-es/_addMapEntry.js,Y,,,,
node_modules/lodash-es/_addSetEntry.js,Y,,,,
node_modules/lodash-es/_apply.js,Y,,,,
node_modules/lodash-es/_arrayAggregator.js,Y,,,,
node_modules/lodash-es/_arrayEach.js,Y,,,,
node_modules/lodash-es/_arrayEachRight.js,Y,,,,
node_modules/lodash-es/_arrayEvery.js,Y,,,,
node_modules/lodash-es/_arrayFilter.js,Y,,,,
node_modules/lodash-es/_arrayIncludes.js,Y,,,,
node_modules/lodash-es/_arrayIncludesWith.js,Y,,,,
node_modules/lodash-es/_arrayLikeKeys.js,Y,,,,
node_modules/lodash-es/_arrayMap.js,Y,,,,
node_modules/lodash-es/_arrayPush.js,Y,,,,
node_modules/lodash-es/_arrayReduce.js,Y,,,,
node_modules/lodash-es/_arrayReduceRight.js,Y,,,,
node_modules/lodash-es/_arraySample.js,Y,,,,
node_modules/lodash-es/_arraySampleSize.js,Y,,,,
node_modules/lodash-es/_arrayShuffle.js,Y,,,,
node_modules/lodash-es/_arraySome.js,Y,,,,
node_modules/lodash-es/_asciiSize.js,Y,,,,
node_modules/lodash-es/_asciiToArray.js,Y,,,,
