File,codigo_web_1.100.0.26245.txt,vscode_web_1.128.0-exploration.txt,vscode_web_1.135.0.txt,vscode_web_1.136.0-insider.txt
extensions/markdown-language-features/markdown-editor-out/flowDiagram-I6XJVG4X-FY5HF2IR.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/ganttDiagram-6RSMTGT7-IMSRASAG.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/ganttDiagram-EL5Y4UJY-JCSKUU2V.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/gitGraph-4MIJSDKK-ITDCTFJT.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/gitGraph-WXDBUCRP-3DRAF6YY.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/gitGraphDiagram-PVQCEYII-XLTQ23C2.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/gitGraphDiagram-WWUBYQGX-RXRB5JA2.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/info-A6RAGUB7-VXIEHQAI.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/info-J43DQDTF-SGLENOKI.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/infoDiagram-5YYISTIA-27HTSELU.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/infoDiagram-RXCK75RN-2T6V4JS2.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/ishikawaDiagram-5VMMS53U-6WC4IGXZ.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/ishikawaDiagram-YF4QCWOH-J65VWOYD.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/journeyDiagram-EYS64GPL-PZQYT6UF.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/journeyDiagram-JHISSGLW-4IAF3L57.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/kanban-definition-3QL26DDD-VYBV345J.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/kanban-definition-UN3LZRKU-SDXXDS4G.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/katex-QJ7O5CJ5.js,Y,,Y,Y
extensions/markdown-language-features/markdown-editor-out/mermaid.core-S5KCHHL2.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/mermaid.core-VZVANW2P.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/mindmap-definition-FBJOCRG2-H3I5F4WB.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/mindmap-definition-RKZ34NQL-5UQOK6AV.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/packet-AYTQ26CC-WLFKOXIZ.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/packet-YPE3B663-465HACXW.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/pegDiagram-XKGWAZYB-HUV4U5RU.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/pie-LRSECV5Y-RBRPKOKR.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/pie-WAS4IAKB-GZIMD664.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/pieDiagram-4H26LBE5-6ZNFRSFJ.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/pieDiagram-E7YTZNPT-XOJEVCEO.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/quadrantDiagram-AXDQQJYC-YPPZYAGP.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/quadrantDiagram-W4KKPZXB-IXSUOSO3.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/radar-GUYGQ44K-LIAB3X7B.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/radar-RG4KPBEZ-URG5LVGS.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/railroad-74A4TZTK-3ZMXCKLP.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/railroad-abnf-HS5TGJTU-LBR5MV33.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/railroad-ebnf-LZEXJU2U-YEVF3EJR.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/railroad-peg-WCYAUIDC-CV774YSK.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/railroadDiagram-O6MQD6OU-YZF7JNDT.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/requirementDiagram-4Y6WPE33-RQ746TSY.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/requirementDiagram-EFPCY7ZU-PZ7BYTDZ.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/sankeyDiagram-5OEKKPKP-UOK25F6K.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/sankeyDiagram-P5KCCOFB-3P5DWREA.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/sequenceDiagram-3UESZ5HK-MYLVO36C.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/sequenceDiagram-WJ2MYXX4-O52K5NPU.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/sizeCapture-X5ZJPWSS-PRFE7SKK.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/stateDiagram-AJRCARHV-6UK74UEJ.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/stateDiagram-HBIQ2CUA-KDPYCQOT.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/stateDiagram-v2-4QOOHH4V-QBQE56JB.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/stateDiagram-v2-BHNVJYJU-WYEILTCH.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/swimlanes-XN3QIQJK-YCLJ3KIH.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/swimlanesDiagram-VK2B7HYN-RS7VRH6T.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/timeline-definition-24CTP7MA-GQ3MCHCF.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/timeline-definition-PNZ67QCA-72YBCWFA.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/treeView-BLDUP644-YBXCPRCW.js,,,Y,
extensions/markdown-language-features/markdown-editor-out/treeView-Q6P3EWNA-UEXUSAGC.js,Y,,,Y
extensions/markdown-language-features/markdown-editor-out/treemap-LRROVOQU-5M2JWNE3.js,,,Y,
